Tweet Text,Label,Clean Tweet,Lenght,Long Number,Short Number,Punctuation,WebSite
"The “Russian Right” moves to support Putin @senatemajldr @LindseyGrahamSC @SenRonJohnson @SenCoryGardner @GOP @Jim_Jordan @Liz_Cheney RT @ImpeachmentHour: So Trump says the US will buy 100,000,000 doses of an untested, unproven Russian Covid vaccine! Anybody see this coming?",1,the russian right move support putin senatemajldr lindseygrahamsc senronjohnson sencorygardn gop jim jordan liz cheney impeachmenthour trump say the will buy dose untest unproven russian covid vaccin anybodi see thi come,240,0,0,6.667,1
"Putin: US Presidents Are Not Very Powerful, 'Men in Dark Suits' Rule Washington  via @YouTube",0,putin presid are not veri power men dark suit rule washington via youtub,78,0,0,6.41,0
So who’s buying #Putin fake vaccine? He kills people..... RT @maddow: BBC: Security forces now shooting at protesters with live rounds in Belarus,0,who buy putin fake vaccin kill peopl maddow bbc secur forc now shoot protest with live round belaru,123,0,0,8.13,0
Trump will try to handle her Putin style. Everyone stay safe!! RT @HoarseWisperer: Kamala Harris laying out a scorching prosecution of Trump’s mishandling of the COVID crisis. Trump cannot handle direct confrontation by strong women. He is in for a long three months.,1,trump will tri handl her putin style everyon stay safe hoarsewisper kamala harri lay out scorch prosecut trump mishandl the covid crisi trump cannot handl direct confront strong women for long three month,225,0,0,3.556,0
"India also has vaccine against covid-19, but like Putin, Modi doesn't have a daughter for the fast trial.",1,india also ha vaccin against covid but like putin modi doesn have daughter for the fast trial,88,0,0,5.682,0
"As is so often the case, Putin can't lose. RT @akoz33: Alexander Koc, one of the most trusted Kremlin propagandists, all day on Russia 1 convincingly speaks of mass peaceful protests and extremely harshly denounces the atrocities of the OMON. The Kremlin is clearly playing on two boards and weighing two options for the Anschluss.",1,often the case putin can lose akoz alexand koc one the most trust kremlin propagandist all day russia convincingli speak mass peac protest and extrem harshli denounc the atroc the omon the kremlin clearli play two board and weigh two option for the anschluss,277,0,0,3.249,0
"The entire media regime and the pharmaceutical criminal cartel that until yesterday praised the virtues of vaccines, today express doubts about Russia's vaccine. Putin practically turned Pro-vax fanatics into No-vax"".",0,the entir media regim and the pharmaceut crimin cartel that until yesterday prais the virtu vaccin today express doubt about russia vaccin putin practic turn pro vax fanat into vax,188,0,0,3.723,0
"""The Russian Gamaleya institute that produced the first vaccine in the world against Covid is state-owned. It is not in the hands of Bill Gates. With this move, Putin put an end to the Covid terrorist operation in Russia. It is extraordinary.",1,the russian gamaleya institut that produc the first vaccin the world against covid state own not the hand bill gate with thi move putin put end the covid terrorist oper russia extraordinari,201,0,0,3.483,0
"Is Putin involved in this too? 🤔 RT @franakviacorka: Weapons used by the military and KGB group ""Alpha"" injure and kill. Natalya Lubnevskaya from Nasha Niva was wounded and is now in the hospital. Another colleague from  was lucky, and the bullet passed by.",1,putin involv thi too franakviacorka weapon use the militari and kgb group alpha injur and kill natalya lubnevskaya from nasha niva wa wound and now the hospit anoth colleagu from wa lucki and the bullet pass,213,0,0,4.225,0
YOU ARE SO RIGHT! NOW WE HAVE TO WORRY ABOUT THIS COVID VACCINE BUY TRUMP WANTS FROM PUTIN! RT @robreiner: The battle lines have been drawn. It’s The Union vs. The Confederacy. Its Decency vs. Cruelty. It’s Justice for All vs. Justice for the Privileged. It’s the battle for The Soul of our Nation. And Our Union will win again.,1,you are right now have worri about thi covid vaccin buy trump want from putin robrein the battl line have been drawn the union the confederaci it decenc cruelti justic for all justic for the privileg the battl for the soul our nation and our union will win again,269,0,0,4.833,0
"#TrumpKillsUSPS This is the most corrupt criminal treasonous administration in our history. Between gerrymandering, closing polling places, working with Russia, nothing is off the table. Putin has us against the ropes and he’s working hard. RT @chipfranklin: Using the hashtag #TrumpKillsUSPS, let me know in the comments how you think Trump will try and rig the election. I’ll start: He’s going to delay the ballots and say we don’t have a winner and go to court for years. #TrumpKillsUSPS",0,trumpkillsusp thi the most corrupt crimin treason administr our histori between gerrymand close poll place work with russia noth off the tabl putin ha against the rope and work hard chipfranklin use the hashtag trumpkillsusp let know the comment how you think trump will tri and rig the elect start go delay the ballot and say don have winner and court for year trumpkillsusp,412,0,0,3.641,1
If any candidate for President is actually afraid to debate his opponent as Biden appears to be then he should not even be considered for President. How can he stand up to Putin or any other world leader if he can't even handle debates here at home? RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference,0,ani candid for presid actual afraid debat hi oppon biden appear then should not even consid for presid how can stand putin ani other world leader can even handl debat here home whitehous live presid realdonaldtrump hold news confer,267,0,0,2.622,0
"What Trump is saying I like Russia better since he’s in bed with Putin move there RT @JoeNBC: Donald Trump just said that Russia, China, and Iran run elections more effectively than Democratic governors. How sick and how sad for Republicans that Trump keeps alleging voter fraud before an election. Why doesn’t he just hold up a sign that says “I know I’m going to lose”?",1,what trump say like russia better sinc bed with putin move there joenbc donald trump just said that russia china and iran run elect more effect than democrat governor how sick and how sad for republican that trump keep alleg voter fraud befor elect whi doesn just hold sign that say know go lose,306,0,0,2.288,0
"trump is a hateful, stupid, ignorant pedophile, who is a pathological, sociopathic liar, and a loser, who is owned by Putin and hates all Real Americans! trump is a murderer of innocent people!",1,trump hate stupid ignor pedophil who patholog sociopath liar and loser who own putin and hate all real american trump murder innoc peopl,161,0,0,4.969,0
"tRump to Putin: ""My people understand, that if they kiss my ass, I'll kiss theirs in return. But, they have to kiss my ass first. But, for a great leader like you, I'll kiss your ass first, and repeatedly, and you don't even have to kiss mine back.""",1,trump putin peopl understand that they kiss ass kiss their return but they have kiss ass first but for great leader like you kiss your ass first and repeatedli and you don even have kiss mine back,202,0,0,7.921,0
"Putin, I challenge you here and now. Inject me with your vaccine. I will then decide if it is true. Until then, I say it’s a farce... just like the rest of your life, wrinkler. #RussianVaccine",0,putin challeng you here and now inject with your vaccin will then decid true until then say farc just like the rest your life wrinkler russianvaccin,157,0,0,7.006,0
"This is a Putin driven country. Pure evil. Take a good look Americans, trump obeys Putin. RT @anneapplebaum: Happening in Europe, right now",1,thi putin driven countri pure evil take good look american trump obey putin anneapplebaum happen europ right now,117,0,0,5.983,0
Vladimir #Putin: #Russia Has Developed The World's First Treatment Shot #COVID19,1,vladimir putin russia ha develop the world first treatment shot covid,70,0,0,7.143,0
"And now Donald smiles and laughs When Vladimir Putin pays the Taliban to murder American soldiers. Quite a king you picked to serve uber alles RT @RepLeeZeldin: With a straight face, Biden just said President Trump has been coddling terrorists around the world.🧐After Biden advised AGAINST taking out Bin Laden, now he’s ignoring that it was Pres. Trump who had Soleimani & al-Baghdadi killed, the ISIS caliphate eliminated, and far more.",1,and now donald smile and laugh when vladimir putin pay the taliban murder american soldier quit king you pick serv uber all repleezeldin with straight face biden just said presid trump ha been coddl terrorist around the world after biden advis against take out bin laden now ignor that wa pre trump who had soleimani baghdadi kill the isi caliph elimin and far more,368,0,0,3.261,0
"True, but hats off to Putin for first finding & then marinating &amp; then helping trumpster his idiot agent to become the leader of the free world! RT @genuine_ersatz: Trump must the dumbest Russian asset the KGB has ever recruited. This moron has blown his cover many times over.",0,true but hat off putin for first find then marin amp then help trumpster hi idiot agent becom the leader the free world genuin ersatz trump must the dumbest russian asset the kgb ha ever recruit thi moron ha blown hi cover mani time over,233,0,0,4.292,1
We tracked you to Moscow on the 4th of July for your meeting with Putin! RT @JohnCornyn: GovTrak ranked Kamala Harris the #1 most liberal Senator for 2019,1,track you moscow the juli for your meet with putin johncornyn govtrak rank kamala harri the most liber senat for,127,0,1,3.15,0
"It so amazing you put a new head of USPS right before election. Try to slow down mail. There is no fraud in mail-in voting. You are the fraud, along with your buddy Putin. You will go down! Jail cell is awaiting!!#AmericasGreatestMistake RT @WhiteHouse: LIVE: President @realDonaldTrump holds a news conference",1,amaz you put new head usp right befor elect tri slow down mail there fraud mail vote you are the fraud along with your buddi putin you will down jail cell await americasgreatestmistak whitehous live presid realdonaldtrump hold news confer,260,0,0,5.385,0
Antarctica has oil. Why haven’t we invaded yet? Trumps probably too busy having gay sex with Putin!,1,antarctica ha oil whi haven invad yet trump probabl too busi have gay sex with putin,83,0,0,3.614,0
"""I seriously doubt that they've done that."" - Fauci Fauci, Azar cast doubt on Putin's coronavirus vaccine claim  via @CBSNews",0,serious doubt that they done that fauci fauci azar cast doubt putin coronaviru vaccin claim via cbsnew,105,0,0,7.619,0
Democrat/neoliberal/white liberal come back responses to criticism: “Bernie lost” “You’re privileged “ “Trump supporter/MAGAt” “Are you a Republican?” “Russian asset.” “Are you working for Putin?” “You don’t care about others “ “So you want Trump to win?” “We don’t need you”,1,democrat neoliber white liber come back respons critic berni lost you privileg trump support magat are you republican russian asset are you work for putin you don care about other you want trump win don need you,235,0,0,3.404,1
"I wouldn't t drink a sealed bottle of fucking water that Putin or Trump sponsored. RT @ImpeachmentHour: So Trump says the US will buy 100,000,000 doses of an untested, unproven Russian Covid vaccine! Anybody see this coming?",0,wouldn drink seal bottl fuck water that putin trump sponsor impeachmenthour trump say the will buy dose untest unproven russian covid vaccin anybodi see thi come,188,0,0,4.787,1
Does trump appear even more desperate and terrified? He knows he is gonna lose. He is setting the stage for trying to say voter fraud! Looks like Putin was stopped! @maddow @ProjectLincoln @MeidasTouch @CREWcrew @jaketapper @JoyAnnReid @SenateGOP @senatemajldr @MittRomney,0,doe trump appear even more desper and terrifi know gonna lose set the stage for tri say voter fraud look like putin wa stop maddow projectlincoln meidastouch crewcrew jaketapp joyannreid senategop senatemajldr mittromney,234,0,0,5.556,0
He’s missing out on some other “rigged election” that is shaking the world right now. Probably hasn’t got any instructions from Putin yet. RT @RadioFreeTom: The president is referring to the coming election as “the most rigged election in history” “the greatest fraud in history” and the only thing worse is that his campaign was spied on by Obama. The paranoid ramblings of a broken man.,1,miss out some other rig elect that shake the world right now probabl hasn got ani instruct from putin yet radiofreetom the presid refer the come elect the most rig elect histori the greatest fraud histori and the onli thing wors that hi campaign wa spi obama the paranoid rambl broken man,323,0,0,1.858,1
What you think Russia will be nice Putin don't think he will go for that no matter how much its been tightened tucked stitched She might be able to suck the chrome off a truck hitch But China and Russia North Korea might want more in an adversary RT @1776Stonewall: The left is already crying sexism in defense of Cabala Harris. Why would you pick someone who you don't believe is strong enough to handle the world stage?,1,what you think russia will nice putin don think will for that matter how much it been tighten tuck stitch she might abl suck the chrome off truck hitch but china and russia north korea might want more adversari stonewal the left alreadi cri sexism defens cabala harri whi would you pick someon who you don believ strong enough handl the world stage,344,0,1,1.744,0
"Dr. Anthony Fauci told ABC News' Deborah Roberts that he seriously doubts the Russian-made COVID-19 vaccine, dubbed Sputnik V and touted by President Vladimir Putin, has been proven safe and effective. #VoteOutGOP #VoteOutSusanCollins #VoteOutTrump💩",1,anthoni fauci told abc news deborah robert that serious doubt the russian made covid vaccin dub sputnik and tout presid vladimir putin ha been proven safe and effect voteoutgop voteoutsusancollin voteouttrump,216,0,0,4.63,0
#putin says #RussianVaccine is safe: 🤔🚫🔥⚡just to make @VP #trump @WhiteHouse freaking upset/\ let's not go down that road. RT @wildwestleft: @ImpeachmentHour @courageousgirl2 MONEY LAUNDERING VIA OUR TAX DOLLARS @GOP @GOPLEADER,1,putin say russianvaccin safe just make trump whitehous freak upset let not down that road wildwestleft impeachmenthour courageousgirl money launder via our tax dollar gop goplead,197,0,0,8.122,0
"I have heard that when Clinton or Blair entered a room, you could feel the electricity, when Putin walks in, you can smell the fear, when Williamson walks in, people become narcoleptic... RT @mrjamesob: In a crowded field, sitting your A-levels in Autumn is the stupidest idea. The first thing I learned in today’s phone-in was that students stopped studying when the exams were cancelled in *March*. It’s obvious when you think about it. But not obvious enough for Gavin Williamson.",1,have heard that when clinton blair enter room you could feel the electr when putin walk you can smell the fear when williamson walk peopl becom narcolept mrjamesob crowd field sit your level autumn the stupidest idea the first thing learn today phone wa that student stop studi when the exam were cancel march obviou when you think about but not obviou enough for gavin williamson,403,0,0,4.715,1
"early 2000s NATO basically saw Putin as an ally in their game to destroy and privatize the last remnants of Soviet institutions in Belarus. my theory is, they still do to an extent. RT @paulkleinfancam: 5. Unified NATO approach to more effectively put pressure on Russia. Use Russian TV stations for psyops directed at the Belarusian viewership.",1,earli nato basic saw putin alli their game destroy and privat the last remnant soviet institut belaru theori they still extent paulkleinfancam unifi nato approach more effect put pressur russia use russian station for psyop direct the belarusian viewership,289,0,1,2.768,0
"What an utterly corrupt Barr. Flynn sold us out and everyone knows it. Putin must be loving the decision. @emptywheel @chipfranklin @ProjectLincoln @JRubinBlogger RT @harrylitman: OK, sports fans, based on yesterday's argument before the full DC court of appeals, the court is going to rule against Michael Flynn and the DOJ, but Flynn will still be sprung -- unjustly -- in fairly short order. My latest oped for the @latimes :",1,what utterli corrupt barr flynn sold out and everyon know putin must love the decis emptywheel chipfranklin projectlincoln jrubinblogg harrylitman sport fan base yesterday argument befor the full court appeal the court go rule against michael flynn and the doj but flynn will still sprung unjustli fairli short order latest ope for the latim,358,0,0,5.866,0
"TRUMP ALLOWS SNIPER RIFLE SILENCERS TO BE SOLD TO FOREIGN ARMS DEALERS! ( READ PUTIN’s GRU! ) Inside the White House, a Gun Industry Lobbyist Delivers for His Former Patrons",0,trump allow sniper rifl silenc sold foreign arm dealer read putin gru insid the white hous gun industri lobbyist deliv for hi former patron,144,0,0,3.472,0
"Good raise taxes on the rich bring back Obamacare but at free coverage, bring back the economy & stop the death of 165,000 lives that the gop destroyed. @GOP Gang of Putin @realDonaldTrump @RepAdamSchiff @SenCoryGardner @SpeakerPelosi @GOPLeader @GOPSenate @JoeBiden RT @GOPChairwoman: Biden and Harris want to raise your taxes, eliminate your health plan, and send your utility bills through the roof. That’s not “for the people.” It’s “for the radical left!”",1,good rais tax the rich bring back obamacar but free coverag bring back the economi stop the death live that the gop destroy gop gang putin realdonaldtrump repadamschiff sencorygardn speakerpelosi goplead gopsen joebiden gopchairwoman biden and harri want rais your tax elimin your health plan and send your util bill through the roof that not for the peopl for the radic left,390,0,0,4.872,0
"PUTIN Is Shaking In His Boots, Because He Knows If TRUMP Goes Down Hell Loose Favor With The People That Really Controls RUSSIA! He Might Be Going For A One Way Fishing Trip!!!",1,putin shake hi boot becaus know trump goe down hell loos favor with the peopl that realli control russia might go for one way fish trip,144,0,0,3.472,0
"Um...Hillary bought the fake dossier from Putin, genius. RT @craig70795715: @Boognish12 @thehill The only people still talking about the dossier are idiot Trumpers who believe Putin over US Intelligence",0,hillari bought the fake dossier from putin geniu craig boognish thehil the onli peopl still talk about the dossier are idiot trumper who believ putin over intellig,174,1,1,5.172,0
"Yep, my Putin.... RT @korol_koshek: @RomanaVolny Putin is a Russian Saint and the Devils of the Nazi West gnash their teeth in Hell :) 🇷🇺",1,yep putin korol koshek romanavolni putin russian saint and the devil the nazi west gnash their teeth hell,113,0,0,9.735,0
The Republican Presidential nominee Trump will be the most Russian Red Putin asset our country has ever seen. RT @VoteMarsha: Kamala Harris will be the most liberal left wing nominee for Vice President our country has ever seen.,1,the republican presidenti nomine trump will the most russian red putin asset our countri ha ever seen votemarsha kamala harri will the most liber left wing nomine for vice presid our countri ha ever seen,191,0,0,2.094,0
Trump alignment with Taiwan is dangerous and orchestrated by putin,0,trump align with taiwan danger and orchestr putin,57,0,0,0.0,0
"Donnie can't call Kamala Nasty. You already gave that name to Hillary. Now if you call Hillary and ask her if she would share the name with Kamala. Then we'll print the t shirts. I'm telling U, you have to teach these Trumps everything. Putin I thought you had this under control!",0,donni can call kamala nasti you alreadi gave that name hillari now you call hillari and ask her she would share the name with kamala then print the shirt tell you have teach these trump everyth putin thought you had thi under control,229,0,0,4.367,0
"Liar. @IvankaTrump, you moved to Washington DC to enrich yourself. Everybody knows it. If you can't say something without telling a lie, don't say anything at all. And anyway, nobody wants your kind of help unless they are the mafia or Putin. RT @truthshallwhat: We don't want your help or even asked for it @IvankaTrump",1,liar ivankatrump you move washington enrich yourself everybodi know you can say someth without tell lie don say anyth all and anyway nobodi want your kind help unless they are the mafia putin truthshallwhat don want your help even ask for ivankatrump,266,0,0,5.639,0
Why hasn’t Putin tried his new miracle drug? Why isn’t Putin sharing with his good buddy trump? RT @robreiner: Trump’s BFF announces a Covid vaccine. Trump should honor him by taking the first dose then start working at a meat packing plant.,1,whi hasn putin tri hi new miracl drug whi isn putin share with hi good buddi trump robrein trump bff announc covid vaccin trump should honor him take the first dose then start work meat pack plant,200,0,0,3.0,0
"Would it take it? That’s a hard FVCK NO. How much do you want to bet that Trumps going to force it on the American people, claiming that it’s from Moderna or Novartis or somewhere? I’ll take a vaccine it it is vetted by Biden’s people.",0,would take that hard fvck how much you want bet that trump go forc the american peopl claim that from moderna novarti somewher take vaccin vet biden peopl,190,0,0,2.632,0
"That’s why so many of my friends now call it the TrumpVirus. We’d go for Putin, but @realDonaldTrump has personally screwed America. @PressSec @GOP @senatemajldr RT @Yamiche: Another line from Kamala Harris' speech that went directly to Pres Trump: ""His flip-flopping on social distancing & wearing masks. His delusional belief that he knows better than the experts. All of that is reason &amp; the reason that an American dies of COVID-19 every 80 seconds.""",1,that whi mani friend now call the trumpviru for putin but realdonaldtrump ha person screw america presssec gop senatemajldr yamich anoth line from kamala harri speech that went directli pre trump hi flip flop social distanc wear mask hi delusion belief that know better than the expert all that reason amp the reason that american die covid everi second,385,0,0,5.455,0
"#BernieSanders It’s obvious that Dictator Trump does not think to apply, or does not care to apply the Golden Rule when it applies to politics. His focus now is to use every lever of power available to him to win re-election in 2020 and that includes cheating and Putin’s help. RT @BernieSanders: Unlike the ""very stable genius"" I'm not a religious scholar. But somewhere I read that pathological lying and providing tax breaks for the rich, while ignoring the pain of the hungry, the homeless and the sick is not exactly following the golden rule.",1,berniesand obviou that dictat trump doe not think appli doe not care appli the golden rule when appli polit hi focu now use everi lever power avail him win elect and that includ cheat and putin help berniesand unlik the veri stabl geniu not religi scholar but somewher read that patholog lie and provid tax break for the rich while ignor the pain the hungri the homeless and the sick not exactli follow the golden rule,454,0,1,3.084,0
"cThe best policy moving forward: Ignore Putin's poison for our politics online. Just ignore it. Pass it by. Don't react. Don't refute. Just block it and move on. It's utterly unworthy of your time, attention, and energy.",1,cthe best polici move forward ignor putin poison for our polit onlin just ignor pass don react don refut just block and move utterli unworthi your time attent and energi,184,0,0,7.609,0
Russia's COVID-19 vaccine is designed to give Vladimir Putin a ratings boost no matter what the cost  Please. There is no Russian vaccine. It's all bullshit. Putin is full of as much crap as Trump. I mean they are truly made for one another. Get a room. Ha!,0,russia covid vaccin design give vladimir putin rate boost matter what the cost pleas there russian vaccin all bullshit putin full much crap trump mean they are truli made for one anoth get room,209,0,0,4.785,0
"She told 100% of the truth here. She always does. When Putin stole the job for dump, our economy had been running beautifully. Shortly thereafter, dump took his first bow for ""his accomplishment"". He's ruined us now. Take a bow, idiot boy. You're crazy nasty. RT @TheRickyDavila: Kamala Harris: trump inherited the longest economic expansion in history from Barack Obama and Joe Biden. And then, like everything else he inherited, he ran it straight into the ground."" 🔥💯👏",0,she told the truth here she alway doe when putin stole the job for dump our economi had been run beauti shortli thereaft dump took hi first bow for hi accomplish ruin now take bow idiot boy you crazi nasti therickydavila kamala harri trump inherit the longest econom expans histori from barack obama and joe biden and then like everyth els inherit ran straight into the ground,394,0,0,5.838,1
So Putin has a new vaccine does he...,1,putin ha new vaccin doe,30,0,0,10.0,0
"So @realDonaldTrump are you going to condemn the #RussianBountiesOnOurTroops , or just praise Putin some more? RT @SenDuckworth: Today would’ve been a good day to condemn Putin for reportedly putting bounties on our troops, @realDonaldTrump. But then again, any of the last 46 days since this story broke would have been good too.",1,realdonaldtrump are you go condemn the russianbountiesonourtroop just prais putin some more senduckworth today would been good day condemn putin for reportedli put bounti our troop realdonaldtrump but then again ani the last day sinc thi stori broke would have been good too,278,0,0,3.957,0
".You kids right now should be paying attention to Belarus. The USSR was not built in a day. Putin has designs on Eastern Europe. The worst part about it, he knows it’s attainable with a weakened United States. Floor plan was laid years ago. Might even threaten the Germans again.",0,you kid right now should pay attent belaru the ussr wa not built day putin ha design eastern europ the worst part about know attain with weaken unit state floor plan wa laid year ago might even threaten the german again,230,0,0,3.478,0
"How long has Putin had the COVID vaccine under wraps? Since October? November? December? Now wouldn't THAT be ironic! The Russian Virus let loose in the Chinese wet market in order to bring down it's greatest rivals, the Chinese and Americans?",1,how long ha putin had the covid vaccin under wrap sinc octob novemb decemb now wouldn that iron the russian viru let loos the chines wet market order bring down greatest rival the chines and american,203,0,0,4.433,0
I want to just say to the people of this country you have battled back from worst but the first thing you need to do is get rid of the Putin lover Donald Trump and Mike Pence,0,want just say the peopl thi countri you have battl back from worst but the first thing you need get rid the putin lover donald trump and mike penc,138,0,0,0.0,0
"ON THIS #QAnon bandwagon! Humans, especially the uneducated & simpletons, are so damn EASY to Manipulate &amp; CON! Do these idiots realize that this conspiracy is made and run by #Russia!!! trump is even a supporter! All the easier now 2b manipulated by #Putin! Simply Unreal!!",0,thi qanon bandwagon human especi the uneduc simpleton are damn easi manipul amp con these idiot realiz that thi conspiraci made and run russia trump even support all the easier now manipul putin simpli unreal,233,0,0,7.296,0
"Bitching Mitch @senatemajldr - how's ""WINNING"" going? You tired of winning? Or are you only counting score for Trump and Putin?? RT @TeresaShank5: @glennkirschner2 Mitch puts the KY in Kentucky.",1,bitch mitch senatemajldr how win go you tire win are you onli count score for trump and putin teresashank glennkirschn mitch put the kentucki,165,0,0,7.879,0
Good one! You need to think for yourself. Do you like being told what to think? Trump knows Putin put bounties on the heads of US soldiers. WHY won’t Trump stand up to Putin?  RT @Lurabyss: @Klayoven @Lrihendry Wrong. We voted for Trump because he can't be controlled or bought by the puppeteers who have controlled DC for decades. He was successful and wealthy BEFORE he became a politician - not while he was in office like many. #tcot #ccot #MAGA #KAG #Democrats #Riots #WalkAway #BLEXIT,1,good one you need think for yourself you like be told what think trump know putin put bounti the head soldier whi won trump stand putin lurabyss klayoven lrihendri wrong vote for trump becaus can control bought the puppet who have control for decad wa success and wealthi befor becam politician not while wa offic like mani tcot ccot maga kag democrat riot walkaway blexit,404,0,0,5.446,0
Putin: Russia first to approve COVID vaccine(Source: Reuters) click here -->,1,putin russia first approv covid vaccin sourc reuter click here,66,0,0,10.606,0
"Or: Grandma pissed with noise Husband pissed off by wife ""I thought it was Putin. "" Old dude cleaning gun RT @stan_rezaee: @thehill Lets see how the perp will be branded by the media: Muslim = Terroist Black Guy = Gangbanger Latino = MS-13 bad hombre White Guy = Good ole boy who meant no harm. He was just having a bad day. He use to play football and his friends call him a nice guy.",0,grandma piss with nois husband piss off wife thought wa putin old dude clean gun stan rezae thehil let see how the perp will brand the media muslim terroist black guy gangbang latino bad hombr white guy good ole boy who meant harm wa just have bad day use play footbal and hi friend call him nice guy,310,0,0,5.484,0
"Possible side effect of vaccine: the whole of Russia begin to recognise Putin as a monarch RT @Reuters: Russia says medics to get anti-COVID shots in two weeks, some Russians wary",0,possibl side effect vaccin the whole russia begin recognis putin monarch reuter russia say medic get anti covid shot two week some russian wari,149,0,0,3.356,0
Putin claims Russia has the first vaccine for coronavirus  via @YouTube,1,putin claim russia ha the first vaccin for coronaviru via youtub,60,0,0,1.667,0
CBS News: Putin claims Russia has developed a coronavirus vaccine.  via @GoogleNews,1,cb news putin claim russia ha develop coronaviru vaccin via googlenew,71,0,0,4.225,0
"So glad the backlash effected you #RobertUnanue @GoyaFoods because of your pathetic support of the racist bigot trump, who doesn’t even denounce Putin for having American Soldiers killed. And he’s knowingly lied about #COVID19 killing over 160,000 Americans. #BloodOnTrumphands",0,glad the backlash effect you robertunanu goyafood becaus your pathet support the racist bigot trump who doesn even denounc putin for have american soldier kill and knowingli lie about covid kill over american bloodontrumphand,239,0,0,3.347,0
